VEHICLE_LOCATION_ID,CALENDAR_ID,PROPERTY_TAG,TRANSIT_DIVISION_ID,MESSAGE_TIMESTAMP,LATITUDE,LONGITUDE,ODOMETER,SPEED,ADHERENCE_SECONDS,HEADING,VALIDITY,ADHERENCE_AT_TIME_POINT,TIME_TO_TIME_POINT,BLOCK_ABBR,BLOCK_STOP_ORDER,OVERLOAD_ID,ADHERENCE_AT_TIME_POINT_SECS,CSLID
9654647379,120210203,8026,1,2021-02-03 18:14:09.230,535813100,-1134518900,65,NULL,480,NULL,228,9,1069,1208,2,0,566,NULL
9654647380,120210203,8026,1,2021-02-03 18:14:38.300,535813300,-1134535600,78,NULL,480,NULL,228,9,1040,1208,2,0,566,NULL
9654647381,120210203,8026,1,2021-02-03 18:14:53.510,535824600,-1134560000,101,NULL,480,NULL,228,9,1025,1208,2,0,566,NULL
9654647382,120210203,8026,1,2021-02-03 18:15:08.757,535825400,-1134597600,127,NULL,480,NULL,228,9,1010,1208,2,0,566,NULL
9654647383,120210203,8026,1,2021-02-03 18:15:23.960,535824500,-1134635100,151,NULL,540,NULL,228,9,995,1208,2,0,566,NULL
9654647384,120210203,8026,1,2021-02-03 18:15:39.173,535823100,-1134678600,178,NULL,540,NULL,228,9,979,1208,2,0,566,NULL
9654647385,120210203,8026,1,2021-02-03 18:15:54.370,535814900,-1134719000,207,NULL,540,NULL,228,9,964,1208,2,0,566,NULL
9654647386,120210203,8026,1,2021-02-03 18:16:09.597,535814200,-1134760100,234,NULL,540,NULL,228,9,949,1208,2,0,566,NULL
9654647387,120210203,8026,1,2021-02-03 18:16:24.840,535814300,-1134801100,263,NULL,600,NULL,228,9,934,1208,2,0,566,NULL
9654647388,120210203,8026,1,2021-02-03 18:16:40.050,535814400,-1134842400,289,NULL,600,NULL,228,9,918,1208,2,0,566,NULL
9654647389,120210203,8026,1,2021-02-03 18:16:55.320,535815500,-1134882700,315,NULL,600,NULL,228,9,903,1208,2,0,566,NULL
9654647449,120210203,8026,1,2021-02-03 18:32:07.987,535991200,-1134922400,597,NULL,-60,NULL,244,2,773,1208,25,0,133,NULL
9654647450,120210203,8026,1,2021-02-03 18:32:23.163,535975400,-1134921700,613,NULL,-60,NULL,244,2,757,1208,25,0,133,NULL
9654647451,120210203,8026,1,2021-02-03 18:32:38.397,535971900,-1134921800,618,NULL,-60,NULL,244,2,742,1208,25,0,133,NULL
9654647452,120210203,8026,1,2021-02-03 18:32:53.600,535963200,-1134921800,629,NULL,-60,NULL,244,2,727,1208,25,0,133,NULL
9654647453,120210203,8026,1,2021-02-03 18:33:08.837,535951900,-1134922000,642,NULL,-60,NULL,244,2,712,1208,25,0,133,NULL
9654647454,120210203,8026,1,2021-02-03 18:33:24.007,535937600,-1134921600,658,NULL,-60,NULL,244,2,696,1208,25,0,133,NULL
9654647455,120210203,8026,1,2021-02-03 18:33:39.247,535924900,-1134921900,671,NULL,-60,NULL,244,2,681,1208,25,0,133,NULL
9654647456,120210203,8026,1,2021-02-03 18:33:54.443,535923200,-1134921800,672,NULL,-60,NULL,244,2,666,1208,25,0,133,NULL
9654647457,120210203,8026,1,2021-02-03 18:34:09.667,535923200,-1134921800,672,NULL,-60,NULL,244,2,651,1208,25,0,133,NULL
9654647458,120210203,8026,1,2021-02-03 18:34:24.873,535920900,-1134933400,683,NULL,-60,NULL,244,2,636,1208,25,0,133,NULL
9654647459,120210203,8026,1,2021-02-03 18:34:40.103,535920700,-1134964200,703,NULL,-60,NULL,244,2,620,1208,25,0,133,NULL
9654647460,120210203,8026,1,2021-02-03 18:34:55.350,535920800,-1134992900,722,NULL,-60,NULL,244,2,605,1208,25,0,133,NULL
9654647461,120210203,8026,1,2021-02-03 18:35:10.510,535921100,-1135018500,740,NULL,-60,NULL,244,2,590,1208,25,0,133,NULL
9654647462,120210203,8026,1,2021-02-03 18:35:25.773,535921300,-1135045300,758,NULL,-60,NULL,244,2,575,1208,25,0,133,NULL
9654647463,120210203,8026,1,2021-02-03 18:35:40.937,535921500,-1135068500,772,NULL,-60,NULL,244,2,560,1208,25,0,133,NULL
9654647464,120210203,8026,1,2021-02-03 18:35:56.137,535921600,-1135088000,785,NULL,0,NULL,244,2,544,1208,25,0,133,NULL
9654647465,120210203,8026,1,2021-02-03 18:36:11.400,535922000,-1135109300,799,NULL,0,NULL,244,2,529,1208,25,0,133,NULL
9654647466,120210203,8026,1,2021-02-03 18:36:26.570,535922100,-1135129500,812,NULL,0,NULL,244,2,514,1208,25,0,133,NULL
9654647467,120210203,8026,1,2021-02-03 18:36:41.783,535922100,-1135140800,819,NULL,0,NULL,244,2,499,1208,25,0,133,NULL
9654647468,120210203,8026,1,2021-02-03 18:36:56.983,535922100,-1135145200,822,NULL,-60,NULL,244,2,484,1208,25,0,133,NULL
9654647469,120210203,8026,1,2021-02-03 18:37:12.210,535922100,-1135163100,835,NULL,0,NULL,244,2,468,1208,25,0,133,NULL
9654647470,120210203,8026,1,2021-02-03 18:37:27.413,535922200,-1135196600,859,NULL,0,NULL,244,2,453,1208,25,0,133,NULL
9654647471,120210203,8026,1,2021-02-03 18:37:42.623,535922200,-1135230200,880,NULL,0,NULL,244,2,438,1208,25,0,133,NULL
9654647472,120210203,8026,1,2021-02-03 18:37:57.840,535922400,-1135261500,899,NULL,60,NULL,244,2,423,1208,25,0,133,NULL
9654647473,120210203,8026,1,2021-02-03 18:38:13.057,535922400,-1135292800,920,NULL,60,NULL,244,2,407,1208,25,0,133,NULL
9654647474,120210203,8026,1,2021-02-03 18:38:28.363,535922500,-1135325300,943,NULL,60,NULL,244,2,392,1208,25,0,133,NULL
9654647475,120210203,8026,1,2021-02-03 18:38:43.457,535922600,-1135355600,964,NULL,60,NULL,244,2,377,1208,25,0,133,NULL
9654647476,120210203,8026,1,2021-02-03 18:38:58.683,535922500,-1135380200,976,NULL,60,NULL,244,2,362,1208,25,0,133,NULL
9654647477,120210203,8026,1,2021-02-03 18:39:13.880,535922600,-1135388900,983,NULL,60,NULL,244,2,347,1208,25,0,133,NULL
9654647478,120210203,8026,1,2021-02-03 18:39:29.100,535922400,-1135398000,989,NULL,60,NULL,244,2,331,1208,25,0,133,NULL
9654647479,120210203,8026,1,2021-02-03 18:39:44.347,535925800,-1135411300,1001,NULL,60,NULL,244,2,316,1208,25,0,133,NULL
9654647480,120210203,8026,1,2021-02-03 18:39:59.670,535927300,-1135411100,1002,NULL,60,NULL,244,2,301,1208,25,0,133,NULL
9654647481,120210203,8026,1,2021-02-03 18:40:14.697,535940300,-1135411900,1017,NULL,60,NULL,244,2,286,1208,25,0,133,NULL
9654647482,120210203,8026,1,2021-02-03 18:40:29.937,535958100,-1135412000,1038,NULL,60,NULL,244,2,271,1208,25,0,133,NULL
9654647483,120210203,8026,1,2021-02-03 18:40:45.137,535964700,-1135419300,1049,NULL,60,NULL,244,2,255,1208,25,0,133,NULL
9654647484,120210203,8026,1,2021-02-03 18:41:00.347,535964700,-1135449900,1068,NULL,120,NULL,244,2,240,1208,25,0,133,NULL
9654647485,120210203,8026,1,2021-02-03 18:41:15.547,535965000,-1135479000,1087,NULL,120,NULL,244,2,225,1208,25,0,133,NULL
9654647486,120210203,8026,1,2021-02-03 18:41:30.787,535957900,-1135493200,1100,NULL,120,NULL,244,2,210,1208,25,0,133,NULL
9654647487,120210203,8026,1,2021-02-03 18:41:46.073,535948400,-1135499700,1112,NULL,120,NULL,244,2,194,1208,25,0,133,NULL
9654647488,120210203,8026,1,2021-02-03 18:42:01.407,535946700,-1135514600,1123,NULL,120,NULL,244,2,179,1208,25,0,133,NULL
9654647489,120210203,8026,1,2021-02-03 18:42:16.463,535946800,-1135532900,1134,NULL,120,NULL,244,2,164,1208,25,0,133,NULL
9654647490,120210203,8026,1,2021-02-03 18:42:31.630,535955800,-1135535000,1145,NULL,120,NULL,244,2,149,1208,25,0,133,NULL
9654647491,120210203,8026,1,2021-02-03 18:42:46.830,535963000,-1135536000,1153,NULL,120,NULL,244,2,134,1208,25,0,133,NULL
9654647492,120210203,8026,1,2021-02-03 18:43:02.027,535963100,-1135557100,1166,NULL,120,NULL,244,2,118,1208,25,0,133,NULL
9654647493,120210203,8026,1,2021-02-03 18:43:17.237,535960600,-1135585800,1187,NULL,120,NULL,244,2,103,1208,25,0,133,NULL
9654647494,120210203,8026,1,2021-02-03 18:43:32.450,535955100,-1135607800,1203,NULL,120,NULL,244,2,88,1208,25,0,133,NULL
9654647495,120210203,8026,1,2021-02-03 18:43:47.643,535954700,-1135619500,1210,NULL,120,NULL,244,2,73,1208,25,0,133,NULL
9654647500,120210203,8026,1,2021-02-03 18:45:03.737,535945800,-1135619900,1219,NULL,60,NULL,244,3,523,1208,38,0,163,NULL
9654647501,120210203,8026,1,2021-02-03 18:45:18.927,535935100,-1135619500,1232,NULL,60,NULL,244,3,508,1208,38,0,163,NULL
9654647502,120210203,8026,1,2021-02-03 18:45:34.150,535927400,-1135606900,1245,NULL,60,NULL,244,3,492,1208,38,0,163,NULL
9654647503,120210203,8026,1,2021-02-03 18:45:49.373,535923800,-1135596700,1253,NULL,60,NULL,244,3,477,1208,38,0,163,NULL
9654647504,120210203,8026,1,2021-02-03 18:46:04.610,535912500,-1135596400,1266,NULL,120,NULL,244,3,462,1208,38,0,163,NULL
9654647505,120210203,8026,1,2021-02-03 18:46:19.790,535900100,-1135596200,1279,NULL,120,NULL,244,3,447,1208,38,0,163,NULL
9654647506,120210203,8026,1,2021-02-03 18:46:34.963,535889000,-1135591300,1292,NULL,120,NULL,244,3,432,1208,38,0,163,NULL
