Range in C,Range in F,Diesel L/km,Diesel Energy Equivalency HHV KWh/km,Diesel Energy Equivalency LHV KWh/km,Diesel Energy Equivalency HHV KWh/mile,Diesel Energy Equivalency LHV KWh/mile
Below -10C,Below 14F,0.08756318104063325,0.9400880408945764,0.878550583107687,1.5126016577993735,1.4135878882202684
-10C to -5C,14F to 23F,0.06884947020045737,0.7391755620132436,0.6907896843445889,1.189333479279309,1.1114806021104435
-5C to 0C,23F to 32F,0.06884947020045737,0.7391755620132436,0.6907896843445889,1.189333479279309,1.1114806021104435
0C to 5C,32F to 41F,0.06388873378181298,0.685916544629742,0.6410169622775236,1.103639720309255,1.0313962923045354
5C to 10C,41F to 50F,0.05722655095493869,0.6143906095578834,0.5741730612478849,0.9885544907786343,0.9238444555478468
10C to 15C,50F to 59F,0.0409547546141305,0.4396947960655955,0.41091270462844265,0.7074689268695431,0.6611585417471643
15C to 20C,59F to 68F,0.03116379801057558,0.33457799808576283,0.312676773372775,0.5383359989199924,0.503096928356795
20C to 25C,68F to 77F,0.02770258310027205,0.29741801022930964,0.2779492504393962,0.4785455784589592,0.4472203439569885
25C to 30C,77F to 86F,0.01308132528485594,0.14044256173880057,0.13124929702472127,0.22597208183773013,0.21118011891277652
Above 30C,Above 86F,0.007381836887759724,0.07925222103108703,0.07406443010718923,0.12751682363901903,0.11916966804246747
