Range in C,Range in F,Diesel L/km,Diesel Eneregy Equivalency HHV KWh/km,Diesel Eneregy Equivalency LHV KWh/km,Diesel Eneregy Equivalency HHV KWh/mile,Diesel Eneregy Equivalency LHV KWh/mile
Below -10C,Below 14F,0.10463543377675529,1.1233776431865532,1.0498421855601114,0.6981837434347752,0.6524811594531457
-10C to -5C,14F to 23F,0.12284961710240068,1.3189271391688295,1.2325911582607534,0.8197185451639711,0.7660603842515559
-5C to 0C,23F to 32F,0.12284961710240068,1.3189271391688295,1.2325911582607534,0.8197185451639711,0.7660603842515559
0C to 5C,32F to 41F,0.08082174861939583,0.8677112733721246,0.8109115444812715,0.5392860617601769,0.5039848007963154
5C to 10C,41F to 50F,0.0664980557806585,0.7139305155340141,0.6671971596659403,0.44371069952393666,0.41466573005962726
10C to 15C,50F to 59F,0.08937631000576925,0.9595539949230504,0.8967423103912181,0.5963666842281233,0.5573289685464377
15C to 20C,59F to 68F,0.08189797689289896,0.8792657796973735,0.8217097014920862,0.5464672341189394,0.5106958990006751
20C to 25C,68F to 77F,0.02770258310027205,0.29741801022930964,0.2779492504393962,0.18484649485973254,0.17274658200086776
25C to 30C,77F to 86F,0.01308132528485594,0.14044256173880057,0.13124929702472127,0.08728561947719116,0.08157196831865834
Above 30C,Above 86F,0.007381836887759724,0.07925222103108703,0.07406443010718923,0.04925557553206155,0.04603134251534446
