Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C)
2021-01-01,2021,1,1,-4.2,-13.1
2021-01-02,2021,1,2,4,-11.4
2021-01-03,2021,1,3,3,-7.8
2021-01-04,2021,1,4,-4.4,-13.2
2021-01-05,2021,1,5,-1.4,-7.7
2021-01-06,2021,1,6,4,-6.7
2021-01-07,2021,1,7,-4.3,-14.9
2021-01-08,2021,1,8,-7.5,-17.6
2021-01-09,2021,1,9,-3.5,-19.9
2021-01-10,2021,1,10,-0.9,-13.2
2021-01-11,2021,1,11,2.9,-8.2
2021-01-12,2021,1,12,-0.9,-9.2
2021-01-13,2021,1,13,0.3,-7.2
2021-01-14,2021,1,14,-1.2,-9.9
2021-01-15,2021,1,15,1.3,-7.8
2021-01-16,2021,1,16,2.8,-6.2
2021-01-17,2021,1,17,3.9,-5.1
2021-01-18,2021,1,18,3,-7.9
2021-01-19,2021,1,19,6.6,-8
2021-01-20,2021,1,20,1.2,-4.8
2021-01-21,2021,1,21,-2.4,-15
2021-01-22,2021,1,22,-4.2,-7.2
2021-01-23,2021,1,23,-7.5,-22.1
2021-01-24,2021,1,24,-16.6,-22.6
2021-01-25,2021,1,25,-17.8,-21.8
2021-01-26,2021,1,26,-15.9,-21
2021-01-27,2021,1,27,-14.6,-20.7
2021-01-28,2021,1,28,-19.1,-29
2021-01-29,2021,1,29,-14.2,-27.9
2021-01-30,2021,1,30,-11.4,-19.4
2021-01-31,2021,1,31,-11.9,-22.7
2021-02-01,2021,2,1,-9.9,-20.8
2021-02-02,2021,2,2,-10.6,-16.6
2021-02-03,2021,2,3,-17,-24.7
2021-02-04,2021,2,4,-7.7,-26.2
2021-02-05,2021,2,5,-19.8,-31.4
2021-02-06,2021,2,6,-23.2,-38.5
2021-02-07,2021,2,7,-27.7,-43.6
2021-02-08,2021,2,8,-25.4,-40.8
2021-02-09,2021,2,9,-25.7,-32.4
2021-02-10,2021,2,10,-26,-31.6
2021-02-11,2021,2,11,-23.6,-31.2
2021-02-12,2021,2,12,-18.7,-24.1
2021-02-13,2021,2,13,-20.3,-29.1
2021-02-14,2021,2,14,-18.5,-28.4
2021-02-15,2021,2,15,-19.9,-26.9
2021-02-16,2021,2,16,-14.4,-24.9
2021-02-17,2021,2,17,-9.9,-26.9
2021-02-18,2021,2,18,-4.5,-22.5
2021-02-19,2021,2,19,0.5,-12.1
2021-02-20,2021,2,20,2.9,-11.5
2021-02-21,2021,2,21,6.1,-5.7
2021-02-22,2021,2,22,6,-3.3
2021-02-23,2021,2,23,2.3,-7.9
2021-02-24,2021,2,24,0.8,-10.3
2021-02-25,2021,2,25,5.7,-7
2021-02-26,2021,2,26,-3.1,-19.7
2021-02-27,2021,2,27,-8.3,-23.5
2021-02-28,2021,2,28,-3.6,-9.9
2021-03-01,2021,3,1,5.6,-7.9
2021-03-02,2021,3,2,2.9,-7.2
2021-03-03,2021,3,3,3.6,-11.3
2021-03-04,2021,3,4,4.8,-8.6
2021-03-05,2021,3,5,7.1,-5.7
2021-03-06,2021,3,6,5.6,-3.5
2021-03-07,2021,3,7,4.4,-8
